protein,protein_id
Sirt2,pSirt2
Asb3,pAsb3
Zfp524,pZfp524
Ssbp2,pSsbp2
Zdhhc6,pZdhhc6
Gtf2e2,pGtf2e2
Zfp467,pZfp467
Zfp688,pZfp688
Trip13,pTrip13
Med30,pMed30
Polr2i,pPolr2i
Asb12,pAsb12
Rfx4,pRfx4
Dmrtc2,pDmrtc2
Gtf2a1l,pGtf2a1l
Zbtb43,pZbtb43
Cers5,pCers5
Ercc8,pErcc8
Phf10,pPhf10
Pygo1,pPygo1
Nkd2,pNkd2
Ssbp3,pSsbp3
Anks3,pAnks3
Zfp263,pZfp263
Gtf2e1,pGtf2e1
Cxxc1,pCxxc1
Rai14,pRai14
Cers2,pCers2
Ssbp4,pSsbp4
Zfp623,pZfp623
Asb15,pAsb15
Sp2,pSp2
Pbx4,pPbx4
Zbtb22,pZbtb22
Jdp2,pJdp2
Gtf2a1,pGtf2a1
Trps1,pTrps1
Rbfox2,pRbfox2
Sirt1,pSirt1
Wwtr1,pWwtr1
Zbtb48,pZbtb48
Zfp513,pZfp513
Maml1,pMaml1
Isl2,pIsl2
Foxp1,pFoxp1
Zdhhc15,pZdhhc15
Mzf1,pMzf1
Tle6,pTle6
Hdac10,pHdac10
Tfdp2,pTfdp2
Myocd,pMyocd
Med16,pMed16
Hlf,pHlf
Gmeb2,pGmeb2
Zfp12,pZfp12
Gtf3c1,pGtf3c1
Zfp768,pZfp768
Zdhhc13,pZdhhc13
Rbbp7,pRbbp7
Carm1,pCarm1
Fbxo2,pFbxo2
Ncoa6,pNcoa6
Phc3,pPhc3
Dnmt3l,pDnmt3l
Gmnn,pGmnn
Spata24,pSpata24
Ctbp2,pCtbp2
Fhl3,pFhl3
Rnf123,pRnf123
Esrrb,pEsrrb
Pou5f1,pPou5f1
Mta2,pMta2
Sall4,pSall4
Tfcp2l1,pTfcp2l1
Nacc1,pNacc1
Wdr5,pWdr5
Nanog,pNanog
Zfp281,pZfp281
Zfp42,pZfp42
Rif1,pRif1
Ezh1,pEzh1
Mtf2,pMtf2
Gatad2a,pGatad2a
Kdm1a,pKdm1a
Mta1,pMta1
Mael,pMael
Kcnip3,pKcnip3
Ing2,pIng2
H3f3a,pH3f3a
Sox2,pSox2
Trp53bp1,pTrp53bp1
Pik3cb,pPik3cb
Prmt2,pPrmt2
Aatf,pAatf
Rptor,pRptor
Mtor,pMtor
Rictor,pRictor
Mlst8,pMlst8
Atrip,pAtrip
Creb3l4,pCreb3l4
Crem,pCrem
Polr1e,pPolr1e
Htt,pHtt
Nab2,pNab2
Hist4h4,pHist4h4
Cbx7,pCbx7
Stat6,pStat6
Sp1,pSp1
Cebpb,pCebpb
Epc1,pEpc1
Srf,pSrf
Cmtm2a,pCmtm2a
Glis2,pGlis2
Hdac3,pHdac3
Eya1,pEya1
Sharpin,pSharpin
Eya2,pEya2
Rbck1,pRbck1
Aurkb,pAurkb
Set,pSet
Hnrnpa2b1,pHnrnpa2b1
Ppp2ca,pPpp2ca
Kat5,pKat5
Ski,pSki
Actl6b,pActl6b
Mnt,pMnt
Sin3b,pSin3b
Cdk4,pCdk4
Setdb1,pSetdb1
Gatad2b,pGatad2b
Pcgf2,pPcgf2
Rnf2,pRnf2
Phc2,pPhc2
Nf1,pNf1
Polr2a,pPolr2a
Musk,pMusk
Dvl1,pDvl1
Pak1,pPak1
Cdh2,pCdh2
Lrp5,pLrp5
Axin1,pAxin1
Rnf111,pRnf111
Smad6,pSmad6
Smad7,pSmad7
Axin2,pAxin2
Rnf11,pRnf11
Prop1,pProp1
Lrp6,pLrp6
Wnt1,pWnt1
Dkk1,pDkk1
Kremen2,pKremen2
Ryk,pRyk
Hck,pHck
Crk,pCrk
Dvl2,pDvl2
Fzd1,pFzd1
Fzd4,pFzd4
Fzd10,pFzd10
Fzd7,pFzd7
Wnt5a,pWnt5a
Sfrp4,pSfrp4
Frzb,pFrzb
Sfrp1,pSfrp1
Sfrp2,pSfrp2
Ehmt2,pEhmt2
Myt1,pMyt1
Myt1l,pMyt1l
Tcf21,pTcf21
Klf6,pKlf6
Rrn3,pRrn3
Cited2,pCited2
Prkdc,pPrkdc
Hdac4,pHdac4
Mad1l1,pMad1l1
Cdk2,pCdk2
Rac1,pRac1
Gna13,pGna13
Csnk1e,pCsnk1e
Bcl11a,pBcl11a
Casp6,pCasp6
Vdr,pVdr
Atr,pAtr
Il1r1,pIl1r1
Myd88,pMyd88
Lrrfip1,pLrrfip1
Med1,pMed1
Plekho1,pPlekho1
Ifi35,pIfi35
Nmi,pNmi
Stat3,pStat3
Pcbp1,pPcbp1
Ets1,pEts1
Tbx5,pTbx5
Nkx2-5,pNkx2-5
Irs1,pIrs1
Atm,pAtm
Cbx5,pCbx5
Lbr,pLbr
Klf13,pKlf13
Pdx1,pPdx1
Cdk5r1,pCdk5r1
Suds3,pSuds3
Dnmt3b,pDnmt3b
Tirap,pTirap
Irak4,pIrak4
Trim66,pTrim66
Cbx1,pCbx1
Pcmt1,pPcmt1
Atp6v1a,pAtp6v1a
Mapk1,pMapk1
Rbl2,pRbl2
Fancl,pFancl
Usf1,pUsf1
E2f3,pE2f3
Cbx2,pCbx2
Fancd2,pFancd2
Ube2v1,pUbe2v1
Ube2v2,pUbe2v2
Skp1a,pSkp1a
Socs3,pSocs3
Asb2,pAsb2
Wsb1,pWsb1
Ndfip1,pNdfip1
Nedd4l,pNedd4l
Scnn1a,pScnn1a
Tax1bp3,pTax1bp3
Map3k4,pMap3k4
Dixdc1,pDixdc1
Grip1,pGrip1
Psen1,pPsen1
Nf2,pNf2
Cdh1,pCdh1
Ctnnd1,pCtnnd1
Ctnna1,pCtnna1
Ptprq,pPtprq
Pcp2,pPcp2
Wnt9a,pWnt9a
Wnt8a,pWnt8a
Porcn,pPorcn
Kdm4b,pKdm4b
Kdm4a,pKdm4a
Kdm4c,pKdm4c
Kmt2e,pKmt2e
Kifap3,pKifap3
Kif3b,pKif3b
Kif5a,pKif5a
Kif5b,pKif5b
Kif5c,pKif5c
Esrra,pEsrra
Hdac8,pHdac8
Nr5a2,pNr5a2
Cdc27,pCdc27
H2afx,pH2afx
Bag3,pBag3
Bag4,pBag4
Kdm2b,pKdm2b
Irf1,pIrf1
Arid1a,pArid1a
Lpin1,pLpin1
Grb10,pGrb10
Nr6a1,pNr6a1
Sox15,pSox15
Chaf1a,pChaf1a
Lmna,pLmna
Creb1,pCreb1
Fosb,pFosb
Smurf1,pSmurf1
Smyd2,pSmyd2
Smyd3,pSmyd3
Tgfbr1,pTgfbr1
Park2,pPark2
Mapk8,pMapk8
Usp33,pUsp33
Fadd,pFadd
Gli2,pGli2
Btrc,pBtrc
Zap70,pZap70
Lck,pLck
Smurf2,pSmurf2
Rnf41,pRnf41
Myog,pMyog
Rybp,pRybp
Chfr,pChfr
Bach1,pBach1
Neurl2,pNeurl2
Fbxl20,pFbxl20
Lyn,pLyn
Pag1,pPag1
Gsk3a,pGsk3a
Bace1,pBace1
Hcn4,pHcn4
Cav3,pCav3
Cops5,pCops5
Vcp,pVcp
Bak1,pBak1
Huwe1,pHuwe1
Fancg,pFancg
Fanca,pFanca
Exosc1,pExosc1
Exosc4,pExosc4
Ddx60,pDdx60
Ddx58,pDdx58
Ifih1,pIfih1
Dhx58,pDhx58
Nek1,pNek1
Trim32,pTrim32
Myc,pMyc
Ago1,pAgo1
Hsp90aa1,pHsp90aa1
Pias4,pPias4
Fancc,pFancc
Gstp1,pGstp1
Lnx1,pLnx1
Ambra1,pAmbra1
Spry1,pSpry1
Spry4,pSpry4
Nedd4,pNedd4
Igf1r,pIgf1r
Spem1,pSpem1
Nr1h4,pNr1h4
Usp2,pUsp2
Nrg1,pNrg1
Por,pPor
Htra2,pHtra2
Nelfcd,pNelfcd
Ctr9,pCtr9
Leo1,pLeo1
Wdr1,pWdr1
AF366264,pAF366264
Wwp2,pWwp2
Zfp143,pZfp143
Rnf31,pRnf31
Hsf1,pHsf1
Slc11a1,pSlc11a1
Ncstn,pNcstn
Zfp521,pZfp521
Sh3gl2,pSh3gl2
Sh3gl3,pSh3gl3
Eps15,pEps15
Synj1,pSynj1
Gfi1b,pGfi1b
Arhgef7,pArhgef7
Atxn3,pAtxn3
Myh3,pMyh3
Cryge,pCryge
Skp2,pSkp2
Tbrg1,pTbrg1
Cdkn2a,pCdkn2a
Pfn1,pPfn1
Pfn2,pPfn2
Tjp1,pTjp1
Kmt2a,pKmt2a
Sftpc,pSftpc
Dcc,pDcc
Tbx21,pTbx21
Kdm6b,pKdm6b
Atf3,pAtf3
Arrb1,pArrb1
Mib2,pMib2
Ikbkb,pIkbkb
Nkx3-2,pNkx3-2
Tab2,pTab2
Tab3,pTab3
Gli1,pGli1
Smarcb1,pSmarcb1
Pten,pPten
Tpt1,pTpt1
Sra1,pSra1
Tmem115,pTmem115
Trim71,pTrim71
Dicer1,pDicer1
Ago2,pAgo2
Dmrt2,pDmrt2
Use1,pUse1
Foxo3,pFoxo3
Ube3a,pUbe3a
Akt1,pAkt1
Cacna1c,pCacna1c
Mdm4,pMdm4
Usp7,pUsp7
Tap1,pTap1
Etv3,pEtv3
Ddx20,pDdx20
Foxm1,pFoxm1
Pin1,pPin1
Acadvl,pAcadvl
Tax1bp1,pTax1bp1
Ube2n,pUbe2n
Ube2d3,pUbe2d3
Ifnar2,pIfnar2
Ephb2,pEphb2
Arhgef15,pArhgef15
Irf7,pIrf7
Mre11a,pMre11a
Tpp1,pTpp1
Rnf8,pRnf8
Npcd,pNpcd
Klhl2,pKlhl2
Neurl1a,pNeurl1a
Cpeb3,pCpeb3
Itpr1,pItpr1
Erlin2,pErlin2
Rnf170,pRnf170
Mgrn1,pMgrn1
Tsg101,pTsg101
Plk1,pPlk1
Ddx39b,pDdx39b
Cdc37,pCdc37
Cand2,pCand2
Cul1,pCul1
Irs4,pIrs4
Asb4,pAsb4
Snap25,pSnap25
Vamp2,pVamp2
Stx1a,pStx1a
Hspa8,pHspa8
Dnajc5,pDnajc5
Sgta,pSgta
Tex19.1,pTex19.1
Ubr2,pUbr2
Prkcz,pPrkcz
Birc3,pBirc3
Ticam1,pTicam1
Usp8,pUsp8
Kcnq3,pKcnq3
Kcnq2,pKcnq2
Rsad2,pRsad2
Ctnnd2,pCtnnd2
Pcyt1a,pPcyt1a
Kpna2,pKpna2
Sf1,pSf1
Gpbp1,pGpbp1
Pitx1,pPitx1
Slc34a1,pSlc34a1
Pdzk1,pPdzk1
Pdzd3,pPdzd3
Slc9a3r1,pSlc9a3r1
Slc9a3r2,pSlc9a3r2
Cul5,pCul5
Capn1,pCapn1
Ido1,pIdo1
Cul4a,pCul4a
Pea15a,pPea15a
Tcea1,pTcea1
Cmtm3,pCmtm3
Bcl3,pBcl3
Dcx,pDcx
Usp9x,pUsp9x
Map3k2,pMap3k2
Senp2,pSenp2
Pidd1,pPidd1
Nlrx1,pNlrx1
Casp8,pCasp8
Suv420h2,pSuv420h2
Suv420h1,pSuv420h1
Fanci,pFanci
Ankrd37,pAnkrd37
Siah2,pSiah2
Ngfr,pNgfr
Trib1,pTrib1
Trib2,pTrib2
Trib3,pTrib3
Chuk,pChuk
Bcl2l11,pBcl2l11
Ppp1ca,pPpp1ca
Mesdc2,pMesdc2
Nek10,pNek10
Ube4b,pUbe4b
Ube4a,pUbe4a
Dnajc7,pDnajc7
Ubox5,pUbox5
Efnb2,pEfnb2
Prom1,pProm1
Rad18,pRad18
Psmb4,pPsmb4
Fbxo4,pFbxo4
Ache,pAche
Csf3r,pCsf3r
Cul3,pCul3
Maf,pMaf
Spi1,pSpi1
Runx1,pRunx1
Ntn4,pNtn4
Csnk1a1,pCsnk1a1
Prkcd,pPrkcd
Hspb1,pHspb1
Prkca,pPrkca
Nbr1,pNbr1
Bhlhe41,pBhlhe41
Zfp110,pZfp110
Adrm1,pAdrm1
Klhl10,pKlhl10
Prmt6,pPrmt6
Traf7,pTraf7
Actn2,pActn2
Ldb3,pLdb3
Mlxipl,pMlxipl
Cd40,pCd40
Pdgfrb,pPdgfrb
Gon4l,pGon4l
Kdm5b,pKdm5b
Morf4l1,pMorf4l1
Drg1,pDrg1
Fbxo32,pFbxo32
Klf4,pKlf4
Rrm1,pRrm1
Hmga1,pHmga1
Hmga2,pHmga2
Fgfr1,pFgfr1
Cks1b,pCks1b
Tmf1,pTmf1
Atf7ip,pAtf7ip
Atf7,pAtf7
Thra,pThra
Thrb,pThrb
Rwdd1,pRwdd1
Hmgb2,pHmgb2
Dab1,pDab1
Rere,pRere
Cd2ap,pCd2ap
Apoe,pApoe
Bptf,pBptf
Uchl1,pUchl1
Crkl,pCrkl
Chd5,pChd5
Hnrnpu,pHnrnpu
Cdkn1b,pCdkn1b
Nup50,pNup50
Smad9,pSmad9
Zfp932,pZfp932
S1pr1,pS1pr1
Cttn,pCttn
Telo2,pTelo2
Shcbp1,pShcbp1
Tnks,pTnks
Fyn,pFyn
Cpeb1,pCpeb1
Slc6a4,pSlc6a4
Cdc6,pCdc6
Mcm3,pMcm3
Etv6,pEtv6
Tia1,pTia1
Tial1,pTial1
Ccne1,pCcne1
Ncoa2,pNcoa2
Coil,pCoil
Chordc1,pChordc1
Prkaca,pPrkaca
Cdk7,pCdk7
Ccnh,pCcnh
Nod1,pNod1
Fbxw7,pFbxw7
Rlim,pRlim
Zfand2a,pZfand2a
Psma1,pPsma1
Psmd4,pPsmd4
Ms4a2,pMs4a2
Shfm1,pShfm1
Bhlhe40,pBhlhe40
Ccna2,pCcna2
Foxp3,pFoxp3
Uba52,pUba52
Ikzf4,pIkzf4
Tcf4,pTcf4
Psma7,pPsma7
Six1,pSix1
Cdk6,pCdk6
Ep400,pEp400
Psmc1,pPsmc1
Rad23b,pRad23b
Hsp90ab1,pHsp90ab1
