Node_i,Node_j,edge_weight
l2410133F24Rik,pSfpq,1
l2410133F24Rik,pTia1,1
l2410133F24Rik,pZfp36,2
l2410133F24Rik,pYy1,1
l2410133F24Rik,pHdlbp,1
l2410137F16Rik,p-,1
l2410137F16Rik,pFmr1,2
l2410137F16Rik,pRbfox2,1
l2410137F16Rik,pSfpq,1
l2410137F16Rik,pTia1,1
l2410137F16Rik,pYy1,1
l2410166I05Rik,pMbnl1,1
l2410187C16Rik,pMbnl1,1
l2500002B13Rik,pAgo2,1
l2500002B13Rik,pPkm,1
l2500002B13Rik,pPabpc1,1
l2500002B13Rik,pPou5f1,1
l2500002B13Rik,pRbm10,1
l2500002B13Rik,pRbfox2,1
l2500002B13Rik,pSfpq,1
l2500002B13Rik,pYy1,1
l2510002D24Rik,pFus,2
l2510002D24Rik,pTardbp,1
l2510003D18Rik,pPabpc1,1
l2510003D18Rik,pPabpc1,1
l2510003D18Rik,pRbfox2,1
l2610005L07Rik,p-,1
l2610005L07Rik,pAgo1,1
l2610005L07Rik,pAgo2,2
l2610005L07Rik,pAgo4,1
l2610005L07Rik,pDazl,1
l2610005L07Rik,pElavl1,1
l2610005L07Rik,pFmr1,1
l2610005L07Rik,pPkm,1
l2610005L07Rik,pPabpc1,1
l2610005L07Rik,pPspc1,1
l2610005L07Rik,pPou5f1,1
l2610005L07Rik,pPtbp2,1
l2610005L07Rik,pQki,2
l2610005L07Rik,pRbm10,1
l2610005L07Rik,pRbfox2,1
l2610005L07Rik,pSfpq,1
l2610005L07Rik,pTia1,1
l2610005L07Rik,pZfp36,1
l2610005L07Rik,pYy1,1
l2610005L07Rik,pHdlbp,1
l2610015P09Rik,pFus,2
l2610015P09Rik,pUpf1,1
l2610019A05Rik,pMbnl1,1
