Protein A,Protein B
Gnai2,Gna11
Gnao1,Gna11
Lin7c,Gna11
Aip,Gna13
Cdh2,Gna13
Gna11,Gna13
Gnai2,Gna13
Gnao1,Gna13
Gnaq,Gna13
Prkaca,Gna13
Gclm,Gnai2
Eif5,Gnai3
Gna13,Gnai3
Gnaq,Gnai3
Gnb1,Gnai3
Gnb2,Gnai3
Gnb5,Gnai3
Mapk1,Gnai3
Mapk3,Gnai3
Nucb1,Gnai3
Pik3r4,Gnai3
Prkar2b,Gnai3
Ubfd1,Gnai3
Usp15,Gnai3
Ywhaq,Gnai3
Gnai2,Gnao1
Klhl3,Gnao1
Rgs7,Gnao1
Gna11,Gnaq
Gnai2,Gnaq
Gnao1,Gnaq
Rgs7,Gnaq
Gna13,Gnb1
Gnai1,Gnb1
Gnai2,Gnb1
Gnaq,Gnb1
Gng11,Gnb1
Atxn10,Gnb2
Gnai1,Gnb2
Gnai2,Gnb2
Gnaq,Gnb2
Gng11,Gnb2
Gnai1,Gnb5
Gnai2,Gnb5
Pfdn2,Gnb5
Rgs7,Gnb5
Capn1,Gng12
Gnb2,Gng12
Gng11,Gng12
Gna13,Gng2
Gnai1,Gng2
Gnaq,Gng2
Gnb1,Gng2
Gnb2,Gng2
Gnb5,Gng2
Gnb1,Gng3
Gnb2,Gng3
Gnb5,Gng7
Aldoc,Gnl1
Capn1,Gns
Eif5a,Gns
G6pdx,Gns
Gaa,Gns
Gls,Gns
Hexa,Gns
Lamp2,Gns
Man2b1,Gns
Pepd,Gns
Rps6ka1,Gns
Siae,Gns
Src,Gns
Cttnbp2,Golga2
Dctn4,Golga2
Tssc1,Golga2
Inpp5j,Golga2
Ube3a,Golga3
Dync1i2,Golph3
Dync1li1,Golph3
Snx27,Gopc
Acbd3,Gorasp2
Acy3,Gorasp2
Blmh,Gorasp2
Me1,Gorasp2
Nme1,Gorasp2
Rpia,Gorasp2
Selenbp1,Gorasp2
Tekt3,Gorasp2
Txlna,Gorasp2
Ugdh,Gorasp2
Aldoa,Gpd2
Brcc3,Gphn
Fto,Gphn
Nrd1,Gphn
Rock2,Gphn
Tuba4a,Gphn
Aldoa,Gpi1
Aldoc,Gpm6a
Cntn1,Gpm6a
Gnao1,Gpm6a
Prkca,Gpm6a
Prnp,Gpm6a
Slc6a1,Gpm6a
Basp1,Gps1
Cops3,Gps1
Cops4,Gps1
Cops5,Gps1
Cops8,Gps1
Cul4b,Gps1
Hsp90ab1,Gps1
Rbx1,Gps1
Capn1,Gpt
Txn1,Gpx1
Cbl,Grb2
Coro1a,Grb2
Dnm2,Grb2
Epb4.1l2,Grb2
Hcn2,Grb2
Pik3r1,Grb2
Reps1,Grb2
Slc1a2,Grb2
Tub,Grb2
Prkaca,Gria4
Casp3,Gripap1
Myl6,Gripap1
Uba1,Gripap1
Adrbk2,Adrbk1
Arrb1,Adrbk1
Gnb1,Adrbk1
Gng2,Adrbk1
Src,Adrbk1
Actr2,Grpel1
Bag1,Grpel1
Fubp1,Grpel1
Hspa9,Grpel1
Ict1,Grpel1
Timm44,Grpel1
Hadha,Grsf1
Rnmtl1,Grsf1
Mrps27,Grsf1
Tfam,Grsf1
App,Gsk3a
Mapt,Gsk3a
Acsbg1,Gsk3b
Camsap3,Gsk3b
Clasp2,Gsk3b
Ctnnb1,Gsk3b
Dnm1l,Gsk3b
Eif2b5,Gsk3b
Eif4ebp1,Gsk3b
Fermt2,Gsk3b
Fibp,Gsk3b
Gsk3a,Gsk3b
Hsp90aa1,Gsk3b
Htra2,Gsk3b
4833439L19Rik,Gsk3b
Prune,Gsk3b
Tppp,Gsk3b
Prkaca,Gskip
Fhit,Gsn
Gstm2,Gstm5
Gss,Gstz1
Nck1,Gstz1
Gorasp2,Gtf2a1
Hspa9,Gtf2a1
Snx6,Gtf2a1
Tbcd,Gtf2a1
Tcea1,Gtf2b
Bcat1,Gtf2f1
Tcea1,Gtf2f1
Ap2b1,Gtf2i
Ctps2,Gtf2i
Ddx3x,Gtf2i
Dpy30,Gtf2i
Lgals1,Gtf2i
Nucb1,Gtf2i
Prps2,Gtf2i
Rbbp4,Gtf2i
Rpl19,Guk1
Ube2z,Guk1
Man2b1,Gusb
Adssl1,Gyg
Aimp2,Gys1
Brcc3,Gys1
Dyrk1a,Gys1
Eif3g,Gys1
Ero1l,Gys1
Gsk3b,Gys1
Gyg,Gys1
Vps33a,Gys1
Fxr1,Habp4
Prkcb,Habp4
Prkcg,Habp4
Prmt1,Habp4
Rpl38,Habp4
Aip,Hace1
Cat,Hacl1
Ech1,Hacl1
Hsdl2,Hacl1
Zadh2,Hacl1
Acadvl,Hadh
Aldh2,Hadh
Cpt2,Hadh
Ech1,Hadh
Eci1,Hadh
Hsd17b4,Hadh
Lta4h,Hadh
Ufm1,Hadh
Acadl,Hadha
Acadm,Hadha
Acads,Hadha
Acadvl,Hadha
Cpt2,Hadha
Ech1,Hadha
Eci1,Hadha
Emd,Hadha
Hsdl2,Hadha
Acadl,Hadhb
Acadm,Hadhb
Acadvl,Hadhb
Anxa7,Hadhb
Cpt2,Hadhb
Ech1,Hadhb
Eci1,Hadhb
Gabarapl1,Hadhb
Hadh,Hadhb
Hadha,Hadhb
Hsdl2,Hadhb
Rtf1,Hadhb
Vcl,Hadhb
8030462N17Rik,Haghl
Csnk2a2,Haghl
Hdgfrp2,Haghl
Ltf,Hal
Nccrp1,Hal
Acan,Hapln1
Calu,Hars
Cul4a,Hars
Eef1b2,Hars
Eftud2,Hars
Nsun2,Hars
Stam,Hars
Grsf1,Hars2
Ict1,Hars2
Nars2,Hars2
Sdcbp,Hars2
Sepsecs,Hars2
Hspa8,Hcfc1
Rbbp7,Hcfc1
Wdr5,Hcfc1
Hcn2,Hcn1
Ctbp1,Hdac4
Gnb1,Hdac4
Gng2,Hdac4
Mark3,Hdac4
Mef2d,Hdac4
Ctnnb1,Hdac6
Fnta,Hdac6
Fntb,Hdac6
Plaa,Hdac6
Ppa1,Hdac6
Sf3a1,Hdac6
Tppp,Hdac6
Emd,Hdgf
Gtpbp1,Hdgf
Kif2a,Hdgf
Map4,Hdgf
Rpl35a,Hdgf
Sub1,Hdgf
Csnk2a2,Hdgfrp2
Drap1,Hdgfrp3
Fam126b,Hdgfrp3
Pip5k1c,Hdhd2
Nedd8,Cecr5
Arhgap18,Hdlbp
Dhx9,Hdlbp
Lamtor5,Hebp2
Hexa,Herc4
Nt5c2,Herc4
BC005624,Herc4
Ezr,Hexa
Hk1,Hexa
Lamp2,Hexa
Actn4,Hgs
Arfip2,Hgs
Bsg,Hgs
Mark4,Hgs
Pef1,Hgs
Ptcd3,Hgs
Ptpn23,Hgs
Slk,Hgs
Snap25,Hgs
Stam,Hgs
Stam2,Hgs
Tmcc2,Hgs
Tsg101,Hgs
Acadvl,Hibadh
Echs1,Hibadh
Hibch,Hibadh
Mut,Hibadh
Atp5j2,Hint1
Rbx1,Hint1
Acta1,Hip1r
Cltb,Hip1r
Cltc,Hip1r
Cttn,Hip1r
Hmgb2,Hmgb1
Hspa8,Hmgb1
Pdia3,Hmgb1
Pdia3,Hmgb2
Cct3,Hnrnpa0
Cirbp,Hnrnpa0
Dync1li1,Hnrnpa0
Hnrnph2,Hnrnpa0
Mapkapk2,Hnrnpa0
Psmd8,Hnrnpa0
U2af2,Hnrnpa0
Alyref,Hnrnpa2b1
Atxn2,Hnrnpa2b1
Dhx9,Hnrnpa2b1
Eftud2,Hnrnpa2b1
Hnrnph1,Hnrnpa2b1
Trove2,Hnrnpa2b1
Alyref,Hnrnpa3
Cdc5l,Hnrnpa3
Cul4b,Hnrnpa3
Cwc27,Hnrnpa3
Ddx5,Hnrnpa3
Eftud2,Hnrnpa3
Hnrnpa2b1,Hnrnpa3
Hnrnph1,Hnrnpa3
Hnrnpk,Hnrnpa3
Pabpc1,Hnrnpa3
Snrnp200,Hnrnpa3
Snrpd1,Hnrnpa3
Snrpd2,Hnrnpa3
Snrpd3,Hnrnpa3
Syncrip,Hnrnpa3
Actb,Hnrnpab
Dhx9,Hnrnpab
Elavl2,Hnrnpab
Gapdh,Hnrnpab
Hnrnpa2b1,Hnrnpab
Hnrnpd,Hnrnpab
Hnrnpl,Hnrnpab
Hnrnpu,Hnrnpab
Hspa8,Hnrnpab
Nucb1,Hnrnpab
Pabpc1,Hnrnpab
Ptbp2,Hnrnpab
Rpl26,Hnrnpab
Rps4x,Hnrnpab
Sfpq,Hnrnpab
Syncrip,Hnrnpab
Trim28,Hnrnpab
Hnrnpk,Hnrnpc
Kpna4,Hnrnpc
Prpf8,Hnrnpc
Srpk2,Hnrnpc
Actb,Hnrnpd
Dhx9,Hnrnpd
Fmr1,Hnrnpd
Gapdh,Hnrnpd
Hnrnpa2b1,Hnrnpd
Hspa8,Hnrnpd
Ncl,Hnrnpd
Pabpc1,Hnrnpd
Rps3,Hnrnpd
Rps3a1,Hnrnpd
Rps4x,Hnrnpd
Slc3a2,Hnrnpd
Trove2,Hnrnpd
Ybx1,Hnrnpd
Ddx1,Hnrnpdl
Fus,Hnrnpdl
Hnrnph1,Hnrnpdl
Hnrnpu,Hnrnpdl
Hnrnpul1,Hnrnpdl
Ilf2,Hnrnpdl
Tardbp,Hnrnpdl
Alyref,Hnrnpf
Cdc5l,Hnrnpf
Cwc27,Hnrnpf
Ddx5,Hnrnpf
Dhps,Hnrnpf
Eftud2,Hnrnpf
Eif4a3,Hnrnpf
Frg1,Hnrnpf
Hnrnpa2b1,Hnrnpf
Hnrnpa3,Hnrnpf
Hnrnph1,Hnrnpf
Hnrnpk,Hnrnpf
Hnrnpu,Hnrnpf
Lsm3,Hnrnpf
Map4,Hnrnpf
Osgep,Hnrnpf
Pabpc1,Hnrnpf
Ppwd1,Hnrnpf
Prpf19,Hnrnpf
Sf3b3,Hnrnpf
Snrpd1,Hnrnpf
Snrpd2,Hnrnpf
Snrpd3,Hnrnpf
Snw1,Hnrnpf
Srrm2,Hnrnpf
Stau1,Hnrnpf
Syncrip,Hnrnpf
Zpr1,Hnrnpf
Alyref,Hnrnph1
Dhx15,Hnrnph1
Eftud2,Hnrnph1
Cops6,Hnrnph2
Cul4b,Hnrnph2
Hnrnph1,Hnrnph2
Gnb2l1,Hnrnph2
Alyref,Hnrnpk
Api5,Hnrnpk
Banf1,Hnrnpk
Eftud2,Hnrnpk
Emd,Hnrnpk
Hdgf,Hnrnpk
Hnrnpa2b1,Hnrnpk
Hnrnph1,Hnrnpk
Ssb,Hnrnpk
Ckb,Hnrnpl
Dhx9,Hnrnpl
Gapdh,Hnrnpl
Hnrnpa2b1,Hnrnpl
Hnrnpd,Hnrnpl
Hnrnpk,Hnrnpl
Hspa8,Hnrnpl
Itch,Hnrnpl
Ncbp1,Hnrnpl
Rps4x,Hnrnpl
Sra1,Hnrnpl
Syncrip,Hnrnpl
Ywhaq,Hnrnpl
Pcbp1,Hnrnpll
Psma3,Hnrnpll
Ube2i,Hnrnpll
Actb,Hnrnpu
Api5,Hnrnpu
Ddb1,Hnrnpu
Ddx17,Hnrnpu
Ddx3x,Hnrnpu
Ddx5,Hnrnpu
Ddx6,Hnrnpu
Dhx15,Hnrnpu
Dhx9,Hnrnpu
Eftud2,Hnrnpu
Elavl1,Hnrnpu
Emd,Hnrnpu
Eprs,Hnrnpu
Fus,Hnrnpu
Gapdh,Hnrnpu
Gtf2f1,Hnrnpu
Hdgf,Hnrnpu
Hnrnpa2b1,Hnrnpu
Hnrnpa3,Hnrnpu
Hnrnpd,Hnrnpu
Hnrnph1,Hnrnpu
Hnrnpk,Hnrnpu
Hnrnpul1,Hnrnpu
Hspa8,Hnrnpu
Lsm3,Hnrnpu
Ncl,Hnrnpu
Pabpc1,Hnrnpu
Pcbp1,Hnrnpu
Psmc2,Hnrnpu
Rpl26,Hnrnpu
Rpl28,Hnrnpu
Rpl6,Hnrnpu
Rplp0,Hnrnpu
Rps3,Hnrnpu
Rps3a1,Hnrnpu
Rps4x,Hnrnpu
Rps6,Hnrnpu
Snrpd1,Hnrnpu
Snrpd3,Hnrnpu
Sra1,Hnrnpu
Srrm1,Hnrnpu
Srrm2,Hnrnpu
Syncrip,Hnrnpu
Tial1,Hnrnpu
Trove2,Hnrnpu
Ybx1,Hnrnpu
Ywhaq,Hnrnpu
Ddx17,Hnrnpul1
Ddx5,Hnrnpul1
Ewsr1,Hnrnpul1
Fus,Hnrnpul1
Hnrnph1,Hnrnpul1
Cops5,Hnrnpul2
Agap2,Homer1
Homer3,Homer1
Itpr1,Homer1
Ryr2,Homer1
Eif3d,Homer3
Itpr1,Homer3
Alb,Hp
Apoa2,Hp
C3,Hp
Clu,Hp
Timm44,Hp
Nmt1,Hpca
Fbxl16,Hpcal4
Tsc22d1,Hpcal4
Ube3a,Hpcal4
Sdcbp,Hprt
Alb,Hpx
Apoe,Hpx
Fgg,Hpx
C3,Hrg
Atg16l1,Hsbp1
Sdcbp,Hsbp1
Crat,Hsd17b4
Acadl,Hsdl2
Acadvl,Hsdl2
Cat,Hsdl2
Cpt2,Hsdl2
Crat,Hsdl2
Ech1,Hsdl2
Eci1,Hsdl2
Hsd17b4,Hsdl2
Pfdn2,Hsp90aa1
Aip,Hsp90ab1
Cops3,Hsp90ab1
Cops4,Hsp90ab1
Epb4.1l2,Hsp90ab1
Hsp90aa1,Hsp90ab1
Pfdn2,Hsp90ab1
Pdia4,Hsp90b1
Nrcam,Hspa12a
Pip4k2b,Hspa12a
Scoc,Hspa12a
Sgta,Hspa13
Atxn10,Hspa1a
Brsk1,Hspa1a
Emd,Hspa1a
Tcp1,Hspa1l
Fkbpl,Hspa2
Gstm2,Hspa2
Hsp90aa1,Hspa2
Hsp90ab1,Hspa2
Src,Hspa2
Cdc37,Hspa4
Hcfc1,Hspa4
Hsp90aa1,Hspa4
Hsp90ab1,Hspa4
Hspa5,Hspa4
Hspa8,Hspa4
Pfdn2,Hspa4
Rbbp4,Hspa4
Rbbp7,Hspa4
Ywhae,Hspa4
Ywhah,Hspa4
Ywhaq,Hspa4
Ywhaz,Hspa4
Asna1,Hspa4l
Calr,Hspa5
Cops3,Hspa5
Dhx9,Hspa5
Eef1a1,Hspa5
Hnrnph1,Hspa5
Hsp90aa1,Hspa5
Hsp90ab1,Hspa5
Hsp90b1,Hspa5
Ncl,Hspa5
P4hb,Hspa5
Pdia4,Hspa5
Actb,Hspa8
Actn4,Hspa8
Atxn10,Hspa8
Capza1,Hspa8
Dhx9,Hspa8
Dnm1,Hspa8
Gapdh,Hspa8
Hmgb2,Hspa8
Hnrnpa2b1,Hspa8
Hsp90aa1,Hspa8
Hsp90ab1,Hspa8
Hspa2,Hspa8
Hspa4l,Hspa8
Hspa5,Hspa8
Lamp2,Hspa8
Mapt,Hspa8
Ncl,Hspa8
Pabpc1,Hspa8
Pdia3,Hspa8
Pfn1,Hspa8
Psma3,Hspa8
Rpl13,Hspa8
Rpl26,Hspa8
Rpl31,Hspa8
Rpl8,Hspa8
Rplp0,Hspa8
Rps2,Hspa8
Rps3,Hspa8
Rps4x,Hspa8
Rps8,Hspa8
Snrpd2,Hspa8
Syn1,Hspa8
U2af2,Hspa8
Ube2d2a,Hspa8
Wdr5,Hspa8
Ybx1,Hspa8
Fxn,Hspa9
Timm44,Hspa9
Actr2,Hspbp1
Agfg1,Hspbp1
Alad,Hspbp1
Ero1l,Hspbp1
Tprkb,Hspbp1
Zpr1,Hspbp1
Fhit,Hspd1
Hspa9,Hspd1
Snrpd2,Hspd1
Snrpd3,Hspd1
Adss,Hspe1
Aldh2,Hspe1
Fhit,Hspe1
Hsp90ab1,Hspe1
Hspd1,Hspe1
Rbbp7,Hspe1
Ctnna1,Hsph1
Dpysl2,Hsph1
Dynlrb1,Hsph1
Faf1,Hsph1
Hsp90aa1,Hsph1
Hsp90ab1,Hsph1
Hspa2,Hsph1
Hspa8,Hsph1
Pafah1b3,Hsph1
Ppm1g,Hsph1
Stip1,Hsph1
Uba1,Hsph1
Mecr,Htatip2
Acta1,Htra2
Aldh1a2,Htra2
Ccar2,Htra2
Diablo,Htra2
Eif4g1,Htra2
Pea15a,Htra2
Actr1a,Huwe1
Asna1,Huwe1
Smek1,Huwe1
Rps17,Huwe1
Bin1,Hyou1
Clu,Hyou1
Ganab,Hyou1
Hsp90b1,Hyou1
Hspa5,Hyou1
Pdia4,Hyou1
Pdia6,Hyou1
Ppib,Hyou1
Sdf2l1,Hyou1
Gnai2,Iars2
Rab2a,Ica1
Acadm,Idh2
Adh5,Idh2
Aco2,Idh3a
Atp5a1,Idh3a
Atp5c1,Idh3a
Atp5k,Idh3a
Atp5l,Idh3a
Coq9,Idh3a
Cs,Idh3a
Cyc1,Idh3a
Cycs,Idh3a
Dlat,Idh3a
Dld,Idh3a
Dlst,Idh3a
Echs1,Idh3a
Huwe1,Idh3a
Idh3g,Idh3a
Mdh2,Idh3a
Ndufa10,Idh3a
Ndufab1,Idh3a
Ndufb7,Idh3a
Ndufs1,Idh3a
Ndufs2,Idh3a
Pdha1,Idh3a
Pdhb,Idh3a
Pfkm,Idh3a
Sdha,Idh3a
Sdhb,Idh3a
Uqcrc1,Idh3a
Uqcrfs1,Idh3a
Dld,Idh3g
Cct2,Igbp1
Cct3,Igbp1
Cct4,Igbp1
Cct5,Igbp1
Cct7,Igbp1
Cct8,Igbp1
Pabpc1,Igbp1
Ppfia3,Igbp1
Ppp2ca,Igbp1
Ppp2cb,Igbp1
Ppp4c,Igbp1
Pdcd6,Igfals
Fhl1,Igfbp5
Eef1b2,Igsf8
Pura,Igsf8
Rpl31,Igsf8
Rpl7a,Igsf8
Slc44a1,Igsf8
Cdc5l,Ilf2
Ddx1,Ilf2
Ddx3x,Ilf2
Ddx5,Ilf2
Dhx15,Ilf2
Eif2s2,Ilf2
Fkbp3,Ilf2
Fmr1,Ilf2
Fus,Ilf2
Hnrnpa2b1,Ilf2
Hnrnph1,Ilf2
Hnrnpu,Ilf2
Pabpc1,Ilf2
Ppid,Ilf2
Prpf19,Ilf2
Rps3a1,Ilf2
Rps4x,Ilf2
Rtcb,Ilf2
2700060E02Rik,Ilf2
Sfpq,Ilf2
Snrpd1,Ilf2
Syncrip,Ilf2
Tardbp,Ilf2
Ybx1,Ilf2
Actb,Ilf3
Ago2,Ilf3
Api5,Ilf3
Ckb,Ilf3
Ddx1,Ilf3
Ddx3x,Ilf3
Ddx5,Ilf3
Dhx9,Ilf3
Eif2s2,Ilf3
Eprs,Ilf3
Fus,Ilf3
Gapdh,Ilf3
Hnrnpa2b1,Ilf3
Hnrnpd,Ilf3
Hnrnpdl,Ilf3
Hnrnph1,Ilf3
Hnrnpk,Ilf3
Hnrnpl,Ilf3
Hnrnpu,Ilf3
Hnrnpul1,Ilf3
Hspa8,Ilf3
Ilf2,Ilf3
Iqgap1,Ilf3
Lsm8,Ilf3
Pabpc1,Ilf3
Rps3a1,Ilf3
Rps4x,Ilf3
Syncrip,Ilf3
Tardbp,Ilf3
Ybx1,Ilf3
Ywhaq,Ilf3
Dld,Immt
Sdhaf2,Immt
Dhx15,Impdh1
Impdh2,Impdh1
Lamp2,Impdh1
Rps16,Impdh1
Mapt,Ina
Psmc2,Ina
Rbx1,Ip6k1
Cyth2,Ipcef1
Ran,Ipo5
Rpl13,Ipo5
Rpl23a,Ipo5
Rps7,Ipo5
Uba1,Ipo5
Apeh,Ipo7
Hars,Ipo7
Kars,Ipo7
Ran,Ipo7
Rpl5,Ipo7
Tnpo1,Ipo7
Actb,Iqgap1
Actn4,Iqgap1
Api5,Iqgap1
Cap1,Iqgap1
Cbl,Iqgap1
Cdc42,Iqgap1
Clip1,Iqgap1
Dhx9,Iqgap1
Dnaja1,Iqgap1
Fmr1,Iqgap1
Lrrc47,Iqgap1
Map2k1,Iqgap1
Map2k2,Iqgap1
Myh9,Iqgap1
Pabpc1,Iqgap1
Pcbp1,Iqgap1
Pip5k1c,Iqgap1
Plcd1,Iqgap1
Psmc2,Iqgap1
Ptk2,Iqgap1
Rac1,Iqgap1
Rpl28,Iqgap1
Rpl6,Iqgap1
Rplp0,Iqgap1
Rps4x,Iqgap1
Rps6,Iqgap1
Sarnp,Iqgap1
Tubb5,Iqgap1
Vim,Iqgap1
Wasl,Iqgap1
Wdr1,Iqgap1
Ywhae,Iqgap1
Ywhaq,Iqgap1
Apoe,Iqsec1
Ppp3cb,Iqsec1
Gss,Irf3
Atg4b,Irgq
Gabarapl2,Irgq
Llgl1,Irgq
Map1b,Irgq
Tsr2,Irgq
Ube2r2,Irgq
Idh3a,Isca1
Ict1,Isca1
Uqcrfs1,Isca1
Gstm5,Iscu
Hscb,Iscu
Necab2,Iscu
Sept2,Isg15
Acot8,Isg15
Gpi1,Isg15
Gsr,Isg15
Pgk1,Isg15
Ppm1b,Isg15
Serpinb5,Isg15
Tagln,Isg15
Tkt,Isg15
Wdr1,Isg15
Asns,Isoc1
G6pdx,Isoc1
Prcp,Isoc1
Ubfd1,Isoc1
Apeh,Ist1
Timm13,Ist1
Ubqln1,Ist1
Vta1,Ist1
Atp8a1,Isyna1
Ppp2ca,Isyna1
Ewsr1,Itch
Gnai2,Itch
Map2k4,Itch
Pabpc1,Itch
Pcbp2,Itch
Sh3gl2,Itch
Stam,Itch
Stam2,Itch
Ubap2l,Itch
Ube2k,Itch
Wdr48,Itch
Alb,Itih1
Acta1,Itpka
Prkaca,Itpr1
Ryr2,Itpr1
Sept2,Hn1l
Cdh2,Jup
Ctnnb1,Jup
Dsp,Jup
Rab8b,Jup
Aimp1,Kars
Aimp2,Kars
Apeh,Kars
Dars,Kars
Dars2,Kars
Eprs,Kars
Gpx1,Kars
Ict1,Kars
Nudc,Kars
Pafah1b1,Katnb1
Dlg1,Kcnj10
Dlg4,Kcnj10
Magi1,Kcnj10
Sh3kbp1,Kctd10
Gnb1,Kctd12
Kpna1,Kctd12
Map1b,Kctd12
Ncl,Kctd12
Osbp,Kctd12
Hspa8,Kdm2b
Hnrnph1,Khsrp
Rars2,1110008L16Rik
Trmt10c,1110008L16Rik
Tufm,1110008L16Rik
App,6430548M08Rik
Ube2d3,A830010M20Rik
Calu,2510003E04Rik
Nsun2,2510003E04Rik
Ncs1,Kif21a
Kif5c,Kif5a
Cope,Kif5b
Kif5a,Kif5b
Kif5c,Kif5b
Snap25,Kif5b
Csnk2a2,Kif5c
Kng1,Klkb1
Fga,Kng1
Kpna3,Kpna1
Timm44,Kpna1
Kpna3,Kpnb1
Kpna4,Kpnb1
Kpna6,Kpnb1
Ran,Kpnb1
Ranbp1,Kpnb1
Krt31,Krt79
Krt31,Krt81
Krt31,Krt82
Krt83,Krt82
Nedd8,Lactb2
Aip,Lamp1
Ctsa,Lamp2
Atp6v1a,Lamtor1
Atp6v1b2,Lamtor1
Eef1a1,Lamtor1
Lamtor3,Lamtor1
Rraga,Lamtor1
Rragc,Lamtor1
Lamtor3,Lamtor2
Lamtor5,Lamtor2
Eef1a1,Lamtor5
Eif3a,Lamtor5
Eif4b,Lamtor5
Lamtor1,Lamtor5
Rraga,Lamtor5
Rragc,Lamtor5
Ankfy1,Lap3
Echs1,Lap3
Isg15,Lap3
Lta4h,Lap3
Nampt,Lap3
Nans,Lap3
Tprkb,Lap3
Txn1,Lap3
Wars,Lap3
Atxn2,Larp1
Bcl2l1,Larp1
Cul4b,Larp1
Pabpc1,Larp1
Rps13,Larp1
Rps14,Larp1
Rps16,Larp1
Rps18,Larp1
Rps4x,Larp1
Ywhae,Larp1
Ywhag,Larp1
Brcc3,Larp7
Rps13,Lars
Srp9,Lars
Ywhaq,Lars2
Actb,Lasp1
Prkar2b,Lasp1
Cryab,Lbh
Atxn2,Lcp1
Cap1,Lcp1
Capza1,Lcp1
Cyc1,Letm1
Idh3a,Letm1
Ict1,Letm1
Ndufa8,Letm1
Psma3,Letm1
Lgals1,Lgals3
Dlg4,Lgi1
Apba1,Lin7c
Cask,Lin7c
Brsk2,Llgl1
Dip2b,Llgl1
Myh10,Llgl1
Ube2r2,Llgl1
Emd,Lmna
Apoe,Lonp1
Cdc37,Lonp1
Psma3,Lonp1
App,Lrp1
Serpina1b,Lrp1
Serpina1c,Lrp1
Atxn2,Lrpap1
Pdia4,Lrpap1
Cep76,Lrpprc
Ywhaz,Lrpprc
Ahsa1,Lrrc40
Aip,Lrrc40
Cct3,Lrrc47
Hdgf,Lrrc59
Epb4.1,Lsamp
Negr1,Lsamp
Prnp,Lsamp
Lsm3,Lsm1
Lsm6,Lsm1
Lsm8,Lsm1
Ddx6,Lsm12
Fus,Lsm12
Tardbp,Lsm12
Atxn2,Lsm14a
Cdc42,Lsm14a
Ddx3x,Lsm14a
Eif4e,Lsm14a
Fmr1,Lsm14a
Pabpc1,Lsm14a
Pcbp1,Lsm14a
Psmc3,Lsm14a
Rock2,Lsm14a
Ybx1,Lsm14a
Hnrnph1,Lsm2
Eef1a1,Lsm3
Hnrnpa2b1,Lsm3
Lsm2,Lsm3
Pabpc1,Lsm3
Snrpe,Lsm3
Lsm1,Lsm4
Lsm2,Lsm4
Lsm3,Lsm4
Lsm6,Lsm4
Lsm8,Lsm4
Lsm2,Lsm6
Lsm3,Lsm6
Api5,Lsm8
Banf1,Lsm8
Lsm2,Lsm8
Lsm3,Lsm8
Lsm6,Lsm8
Srpk2,Luc7l2
Anxa2,Lypla1
Hspa9,Lyrm4
Hspd1,Lyrm4
Uqcrfs1,Lyrm7
Blmh,Lztfl1
Sdcbp,Lztfl1
Sh3glb2,Lztfl1
Wdyhv1,Lztfl1
Map1b,Mag
Prnp,Mag
Car8,Maged1
Echdc1,Maged1
Mpc1,Maged1
Smap2,Maged1
Ctnnb1,Magi1
Ctnnb1,Magi2
Ctnnd2,Magi2
Pten,Magi2
Prrc2a,Man2c1
Ap1g1,Map1a
Cenpe,Map1a
Map1b,Map1a
Map1lc3a,Map1a
Mapre2,Map1a
Rhob,Map1a
Anp32a,Map1b
Asap2,Map1lc3a
Map1b,Map1lc3a
Map1s,Map1lc3a
Tbc1d10b,Map1lc3a
Atg16l1,Map1lc3b
Atg5,Map1lc3b
Map1b,Map1lc3b
Map1lc3a,Map1lc3b
Map1s,Map1lc3b
Nipsnap1,Map1lc3b
Tecpr1,Map1lc3b
B2m,Map1s
Fkbp3,Map1s
Hdac4,Map1s
Kctd12,Map1s
Dync1i2,Map2
Src,Map2
Lamtor3,Map2k1
Map2k1,Map2k2
Mapk1,Map2k2
Pdcd6,Map4
Tubb5,Map6
Gnai1,Mapk1
Gnai2,Mapk1
Gnao1,Mapk1
Gnb5,Mapk1
Lamtor3,Mapk1
Map2k1,Mapk1
Mapk12,Mapk1
Nefh,Mapk1
Prkca,Mapk1
Prkcd,Mapk1
Rps6ka1,Mapk1
Ezr,Mapk10
Fth1,Mapk10
Impdh2,Mapk10
Map2k4,Mapk10
Msn,Mapk10
Arhgef2,Mapk3
Gnai2,Mapk3
Gnb5,Mapk3
Mapk1,Mapk3
Prkca,Mapk3
Vim,Mapk3
Pafah1b1,Mapre1
Snrpd2,Mapre1
Mapre1,Mapre2
Mapre3,Mapre2
Mapre1,Mapre3
Bin1,Mapt
Dhx9,Mapt
Dync1i1,Mapt
Prnp,Mapt
Map2,Mark1
Map4,Mark1
Mark4,Mark1
Ywhae,Mark1
Ywhah,Mark1
Ywhaz,Mark1
Hsp90aa1,Mark2
Mapt,Mark2
Rab11fip2,Mark2
Ywhae,Mark2
Ywhag,Mark2
Ywhah,Mark2
Ywhaq,Mark2
Ywhaz,Mark2
Dynll1,Mark3
Map2,Mark3
Acta1,Mark4
Cdc42,Mark4
Cyfip2,Mark4
Dcaf7,Mark4
Map2,Mark4
Mark3,Mark4
Myh10,Mark4
Ppp2cb,Mark4
Ppp2r1a,Mark4
Prkcg,Mark4
Usp7,Mark4
Ywhah,Mark4
Dffa,Mat2a
