protein,uniprot_id
KCNQ2,Hs.161851
MYBPC2,Hs.85937
NDUFA3,-
OVOL1,Hs.134434
SULT2B1,Hs.369331
C21orf33,Hs.413482
USP11,Hs.171501
PRPF3,Hs.11776
ARHGEF1,-
GPR37L1,Mm.272290
PEX16,Hs.100915
DDX23,Hs.130098
KCNK6,Hs.240395
IL27RA,Hs.352155
NAPSA,Hs.512843
C16orf7,Hs.164410
ACTN4,Hs.270291
MRPL49,Hs.744882
C21orf2,Hs.517331
DMWD,Hs.515474
KCNC3,-
MARS,-
RAD23A,-
SLC27A4,Hs.656699
RBM8A,Hs.591455
DOPEY2,-
SART1,Hs.502883
ALDOC,Hs.155247
GNB2,C9JIS1
GNL1,Hs.83147
NCL,Hs.79110
PDLIM7,-
MAPK8IP1,Hs.234249
NAALADL1,Hs.13967
MED16,Hs.365207
CFL1,-
DOM3Z,Hs.153299
HSF1,-
LAD1,Hs.519035
LAMA5,Hs.473256
PTPRCAP,Hs.155975
SCAMP3,Hs.200600
KCNK7,Hs.175218
ARPC1B,-
ACTR1B,Hs.98791
TRIM28,-
SLC35B1,-
SAP18,Hs.524899
BCAS2,Hs.22960
MCM7,Hs.438720
NAB2,Hs.159223
VPS72,Hs.2430
ALKBH1,-
PCNT,Hs.474069
MRC2,Hs.7835
APBB3,Hs.529449
AGFG2,Hs.521083
GNB2L1,-
PIAS3,Hs.435761
NUCB1,Hs.631602
PSME1,Hs.75348
DPF2,-
RRAS,Hs.515536
SSSCA1,Hs.25723
ANP32B,Hs.730654
AGPAT1,Hs.409230
SPTLC1,Hs.90458
PRPF8,Hs.181368
HEXIM1,Hs.586945
SPAG5,Hs.514033
POLR3C,Hs.515768
PTPRE,Hs.127022
ZNF217,Q9BZ31
STARD10,Hs.188606
RUVBL2,Hs.515846
SIPA1,Hs.530477
CDC42EP2,Hs.343380
MORF4L1,-
KDELR1,-
COPS6,Hs.15591
SF3B2,Hs.406423
TMED1,Hs.661691
ADAP1,Hs.602573
RNF5,Hs.731774
SKIV2L,Hs.89864
SPTBN2,-
SYN1,Mm.439844
ADRM1,Hs.90107
WWP1,Hs.655189
